Title,Authors
Tectonic and stratigraphic evolution of the Santos Basin rift phase: New insights from seismic interpretation on Tupi oil field area,Manuela Silva Adriano; Jorge Picanço Figueiredo; Pedro Henrique Guará Rocha Coelho; Leonardo Borghi
"Insights into the deformation controls in the Santos Basin, Brazil, from 3D seismic data in the Búzios Field",Esteban Alfaro; Ricardo Jahnert; Wagner M. Lupinacci
"Dynamic re-sedimentation of lacustrine carbonates in the Búzios Field, pre-salt section of Santos Basin, Brazil",Sabrina D. Altenhofen; Amanda G. Rodrigues; Leonardo Borghi; Luiz F. De Ros
"The cryptic stratigraphic record of the syn- to post-rift transition in the offshore Campos Basin, SE Brazil",Francyne Bochi do Amarante; Juliano Kuchle; Christopher Aiden‐Lee Jackson; Claiton Marlon dos Santos Scherer; Leonardo Muniz Pichel
"Spatiotemporal hierarchy of fault systems and associated syn-rift stratigraphic sequences across the Santos Basin, offshore SE Brazil",Peryclys Raynyere de Oliveira Andrade; Tiago M. Alves; Mário Neto Cavalcanti de Araújo; Renata da Silva Schmitt; Daniel Galvão Carnier Fragoso; Anderson Henrique de Melo
"Coquina depositional model, Buzios Field, Brazil",Rafaella de Carvalho Antunes; Júlia Campos Guerrero; Ricardo Jorge Jahnert
"The challenging carbonates from the Pre-Salt reservoirs offshore Brazil: facies, palaeoenvironment and diagenesis",Ana C. Azerêdo; Luís V. Duarte; Alexandre P. Silva
"The presalt Santos Basin, a super basin of the twenty-first century",Rui Jorge Baptista; Andre Etienne Ferraz; Cristiano Sombra; Eugenio Vaz dos Santos Neto; Rafael Plawiak; Christiano Lopes Lops Silva; André Luiz Ferrari; Naresh Kumar; Luiz Antônio Pierantoni Gamboa
"Origin and Significance of Thick Carbonate Grainstone Packages in Nonmarine Successions: A Case Study from the Barra Velha Formation, Santos Basin, Brazil",Michael Barnett; Michael Obermaier; Joachim Amthor; Zohreh Sharafodin; Adrian Bolton
"Chapter 6: Origin and Significance of Thick Carbonate Grainstone Packages in Nonmarine Successions: A Case Study from the Barra Velha Formation, Santos Basin, Brazil",A.J. Barnett; M. Obermaier; J. Amthor; M. Sharafodin; M. Bolton; D. Clarke; R. Camara
"Acoustic image log facies and well log petrophysical evaluation of the Barra Velha Formation carbonate reservoir from the Santos Basin, offshore Brazil",Mateus Basso; João Paulo Ponte Souza; Bruno César Zanardo Honório; Leandro Hartleben Melani; Guilherme Furlan Chinelatto; Aline Maria Poças Belila; Alexandre Campane Vidal
"Sedimentology and petrophysical analysis of pre-salt lacustrine carbonate reservoir from the Santos Basin, southeast Brazil",Mateus Basso; Aline Maria Poças Belila; Guilherme Furlan Chinelatto; João Paulo da Ponte Souza; Alexandre Campane Vidal
"Tectonic setting and stratigraphic architecture of an Early Cretaceous lacustrine carbonate platform, Sugar Loaf High, Santos Basin, Brazil",J. P. Buckley; D. Bosence; C. Elders
"Chapter 5: Pre-Salt Depositional System: Sedimentology, Diagenesis, and Reservoir Quality of the Barra Velha Formation, as a Result of the Santos Basin Tectono-Stratigraphic Development",M.D. de Carvalho; F.L. Fernandes
"Facies and diagenesis distribution in an Aptian pre-salt carbonate reservoir of the Santos Basin, offshore Brazil: A comprehensive quantitative approach",Ancilla Maria Almeida Carvalho; Youri Hamon; Olinto Gomes De Souza Jr; Nivea Goulart Carramal; Nathalie Collard
"Integrated 3D forward stratigraphic and basin modeling of the Santos Basin, offshore Brazil: Implications of sedimentary depositional facies and CO2 migration for silicification of continental carbonate reservoirs",Alina-Berenice Christ; Marie-Christine Cacas-Stentz; Nathalie Collard; Fadi Henri Nader; Elisabeth Bemer; Rodrigo Brandão Bunevich; João Paulo Borges Gomes; Olinto Gomes de Souza; Maria Anna Abreu de Almeida dos Reis
Three-dimensional characterization of the Búzios Field reveals implications on the tectonostratigraphic evolution of the Santos Basin using combined seismic attributes and well-logs analysis,Fernanda Moura Costa; Aline Tavares Melo; Tiago Amâncio Novo
"Tectonic influence and isotopic signature of pre-salt lacustrine carbonates in the Tupi field, Santos Basin",Deniro Costa; Tiago Novo; Tobias Fonte-Boa; Ross Stevenson; Humberto Reis; Galen Halverson
Permeability estimation from image logs in pre-salt karst,de Jesus et al.
An operational classification system for the South Atlantic pre-salt rocks,Luiz Fernando De Ros; Daniel M. Oliveira
"2D geological processes modeling of Aptian Pre-salt carbonate reservoirs: Assessing a conceptual depositional model in the Sapinhoá Field, Santos Basin, Brazil",Henrique Picorelli Ladeira Dutra; Patrick Führ Dal’ Bó
"Three-dimensional stratigraphic-sedimentological forward modeling of an Aptian carbonate reservoir deposited during the sag stage in the Santos basin, Brazil",Desiree Liechoscki de Paula Faria; Antonio Tadeu dos Reis; Olinto Gomes de Souza
"Excess permeability in the Brazil pre-Salt: Nonmatrix types, concepts, diagnostic indicators, and reservoir implications",Fermín Fernández-Ibáñez; Gareth D. Jones; Jordan G. Mimoun; Melanie G. Bowen; J. A. (Toni) Simo; Virginia Marcon; William L. Esch
Geological process modeling and geostatistics for facies reconstruction of presalt carbonates,Danilo Jotta Ariza Ferreira; Henrique Picorelli Ladeira Dutra; Thais Mallet de Castro; Wagner Moreira Lupinacci
"Seismic pattern classification integrated with permeability-porosity evaluation for reservoir characterization of presalt carbonates in the Buzios Field, Brazil",Danilo Jotta Ariza Ferreira; Raquel Macedo Dias; Wagner Moreira Lupinacci
"High-resolution sequence stratigraphy applied to reservoir characterization of the Brazilian Cretaceous pre-salt section, Campos Basin: Guidelines for geological modeling and reservoir management",Daniel Galvão Carnier Fragoso; Anderson Henrique de Melo; Lucas Arienti Gonçalves; Rodrigo Brandão Bunevich; Julio de Aratanha Maia Araujo; Thiago Camanho da Costa; Carlos Alexandre Pedrosa; Claiton Marlon Dos Santos Scherer
Early diagenetic evolution based on petrography and stable isotope analysis in the Barra Velha Formation of the Brazilian Pre‐salt,João Paulo Borges Gomes; Rodrigo Brandão Bunevich; Ana Carolina Leonel Sartorato; Leonardo Ribeiro Tedeschi; Sandra Nellis Tonietto; Maurice Edwin Tucker; Fiona Whitaker
"Facies classification and patterns of lacustrine carbonate deposition of the Barra Velha Formation, Santos Basin, Brazilian Pre-salt",J.P. Gomes; R.B. Bunevich; L.R. Tedeschi; M.E. Tucker; F.F. Whitaker
"Influence of Diagenesis On the Quality of Lower Cretaceous Pre-salt Lacustrine Carbonate Reservoirs from Northern Campos Basin, Offshore Brazil",Ronaldo Herlinger; Eveline Ellen Zambonato; Luiz Fernando De Ros
"The Bacalhau Field: New Insights into Lacustrine Carbonate Platform Development, Santos Basin, Brazil",D. Hunt
"Sedimentary and diagenetic constraints on the quality of Lower Cretaceous pre-salt lacustrine carbonate reservoirs in the Santos Basin, eastern Brazil",Junfeng Hu; Dengfa He; Rui Zhou; Huimin Ye; Tao Hu; Peng Zhang; Yongjie Hu; Baonian Wu; Shaowei Wang; Yunlei Yue
Mapping of carbonate mounds in the Brazilian presalt zone,Carlos Jesus; Maria Olho Azul; Wagner Lupinacci; Leandro Machado
Multiattribute framework analysis for the identification of carbonate mounds in the Brazilian presalt zone,Carlos Jesus; Maria Olho Azul; Wagner Moreira Lupinacci; Leandro Machado
New age and lake chemistry constraints on the Aptian pre-salt carbonates of the central South Atlantic,M. Lawson; J. Sitgreaves; T. Rasbury; K. Wooton; W. Esch; V. Marcon; S. Henares; A. Konstantinou; E. Kneller; D. Gombosi; V. Torres; A. Silva; R. Alevato; M. Wren; S. Becker; J. Eiler
"Deposition, diagenetic and hydrothermal processes in the Aptian Pre-Salt lacustrine carbonate reservoirs of the northern Campos Basin, offshore Brazil",Bruno Eustáquio Moreira Lima; Luiz Fernando De Ros
"Three-dimensional stratigraphic forward modeling for the prediction of facies associations and porosity in pre-salt carbonate rocks of the Sapinhoá oil field, Santos Basin, Brazil",Vinícius Lôndero; Andressa Bressane; Márcio Cardoso; Luciano Garim Garcia; José Manuel Marques Teixeira de Oliveira; Ilana Lehn; Adali Ricardo Spadini; Lubín Eric Cayo; Samuel Magalhães Viana; José Eduardo Faccion; Paulo Roberto Moura de Carvalho; Roberto Salvador Francisco D’Avila; Ariane Santos da Silveira
"Application of Seismic Architecture Interpretation in Pre-salt Carbonate Reservoirs of the Buzios Field, Santos Basin, Offshore Brazil",Pedro Henrique Cunha de Macedo; Débora Ribeiro Barretto; Francisco Romério Abrantes Junior; Igor de Andrade Neves; Wagner Moreira Lupinacci
"Integrated Multiscale Pore Characterization of Carbonate Rocks in the Barra Velha Formation, Santos Basin, Brazil",Gabriela Fernandes Matheus; Mateus Basso; Luiza de Carvalho Mendes; Alessandra Winter; Renato Sol Paiva de Medeiros; João Paulo da Ponte Souza; Guilherme Furlan Chinelatto; Marilia Molina Camargo; Alexandre Campane Vidal
"Unravelling the origin of reworked deposits in Aptian lacustrine carbonate reservoirs of the Santos Basin, SE Brazil",Renato Sol Paiva de Medeiros; Mateus Basso; Guilherme F. Chinelatto; Marcus Vinícius Theodoro Soares; Gabriela F. Matheus; Juan Francisco Villacreses Morales; Luiza de Carvalho Mendes; Alexandre Campane Vidal
"The influence of major faults and fractures on the development of non-matrix porosity system in a pre-salt carbonate reservoir, Santos Basin – Brazil",Luiza de C. Mendes; Mateus Basso; Juan Villacreces Morales; Guilherme F. Chinelatto; Joan Marie Blanco; Ulisses M.C. Correia; João Paulo Ponte; Gabriela F. Matheus; Marilia M. Camargo; Jean Carlos R. Gavidia; Renato S.P.de Medeiros; Alexandre C. Vidal
"The influence of diagenetic conditions and fault zones on karstification development in the Barra Velha Formation (Aptian of Santos Basin, Brazil)",Maurícius Nascimento Menezes; Patrick Führ Dal’ Bó; Jon J. Smith; Nathalia H. Mattos; Carolina Ribeiro; Michele Arena; Hélisson N. dos Santos; Gustavo Luiz Campos Pires; Pedro Watahe; Leonardo Borghi
Carbonate excess permeability in pressure transient analysis: A catalog of diagnostic signatures from the Brazil Pre-Salt,Jordan G. Mimoun; Fermín Fernández-Ibáñez
"Seismic-scale geometries and sequence-stratigraphic architecture of Early Cretaceous syn-post rift carbonate systems, Presalt Section, Brazil",M. Minzoni; A. Cantelli; J. Thornton; B. Wignall
High-Resolution Petrophysics Through the Integration of NMR Logs and Acoustic Image Logs,Lucas Abreu Blanes de Oliveira; Gabriel do Nascimento Freitas; Leonardo Gonçalves; Erica Kato Pacheco Ferraz
"The petrophysical characteristics of Macabu formation (Aptian, Campos Basin) continental carbonates: Core and special well logs (UBI and NMR) analysis integration",Vinicius Gaino Oliveira; Mateus Basso; Guilherme Furlan Chinelatto; Aline Maria Poças Belila; Alexandre Campane Vidal
"High-resolution stratigraphy and characterization of reservoir-critical heterogeneities in the giant Tupi Field, pre-salt Santos Basin, Brazil",Saulo Pedrinha; Victor de Mello Artagão
3D modelling of flow units and petrophysical properties in brazilian presalt carbonate,Rodrigo Penna; Wagner Moreira Lupinacci
"Geostatistical seismic inversion and 3D modelling of metric flow units, porosity and permeability in Brazilian presalt reservoir",Rodrigo Penna; Wagner Moreira Lupinacci
Seismic quantitative interpretation of diagenetic processes: A study in Brazilian pre-salt carbonate reservoirs,Rodrigo Macedo Penna; Leonardo Costa de Oliveira; Leonardo Souza Rodrigues
"Distribution of silicification intervals throughout the Barra Velha and Itapema formations: Host rock controls and chronology of silica precipitation (Pre-Salt, Santos Basin, Brazil)",Tainá P. Pereira; Silvia Terra; Douglas Renato da Silva; Gustavo L.C. Pires; Andre Ribeiro
"Chapter 13: The Giant Mero Oil Field: Geological and Petrophysical Settings of One of the Largest Pre-Salt Fields of the Santos Basin, Southern Brazil",E. Petersohn; R. Morelatto; C.M.A. Batista; J.C.S. Vital
"Palaeohydrology of the Lower Cretaceous pre-salt lacustrine system, from rift to post-rift phase, Santos Basin, Brazil",Raphael Pietzsch; Daniel M. Oliveira; Leonardo R. Tedeschi; João V. Queiroz Neto; Milene F. Figueiredo; Joselito C. Vazquez; Rogério Schiffer de Souza
"Seismic stratigraphic analysis of the Pre-salt of Berbigão, Sururu, and Atapu fields, Santos Basin, Brazil",Victor Haas Pizarro; Fábio André Perosi; Leonardo Borghi; Marcos Fetter
Depositional and diagenetic characteristics of the Lula's Fingers: Evidences of microbial activity and exposure during final pre-salt depositional in Santos Basin,Josiane Branco Plantz; Michele Correia Arena Salvador da Silva; Jeferson Santos; Hélisson Nascimento dos Santos; Leonardo Borghi
"Sedimentary processes and paleoenvironment reconstruction of the Barra Velha formation, Santos Basin, Brazilian pre-salt",Taynah Buratto Rebelo; Alessandro Batezelli; Nathalia Helena Mattos; Emilson Pereira Leite
"Petrophysical characterization using well log resistivity and rock grain specific surface area in a fractured carbonate pre-salt reservoir in the Santos Basin, Brazil",Herson Oliveira da Rocha; Jéssica Lia Santos da Costa; Antonio Abel Gonzaléz Carrasquilla; Alfredo Moisés Vallejos Carrasco
SEISMIC ATTRIBUTES ANALYSIS OF A PERMO-POROUS SYSTEM IN NEOBARREMIAN-EOAPTIAN CARBONATES RESERVOIRS - CAMPOS BASIN (BRAZIL),Milena Cristina Rosa; Maria Gabriela Castillo Vincentelli
Control of basin-scale accommodation zones on syn-rift Aptian lacustrine carbonate reservoirs. Implications for reservoir quality estimates of Brazilian pre-salt,Pedro Henrique Silvany Sales; Mario Neto Cavalcanti de Araujo; Julio Cesar Horta de Almeida; Rodrigo Brandao Bunevich
"Presalt stratigraphy and depositional systems in the Kwanza Basin, offshore Angola",Arthur Saller; Shawn Rushton; Lino Buambua; Kerry Inman; Ross McNeil; J. A. D. (Tony) Dickson
