Term,Error
fracture,'tuple' object has no attribute 'metadata'
microbial deposit,'tuple' object has no attribute 'metadata'
peloid,'tuple' object has no attribute 'metadata'
stylolite,'tuple' object has no attribute 'metadata'
abrasion,'tuple' object has no attribute 'metadata'
abiotic chemical precipitation,'tuple' object has no attribute 'metadata'
accommodation space,'tuple' object has no attribute 'metadata'
aggregate replacement,'tuple' object has no attribute 'metadata'
aggradational carbonate platform,'tuple' object has no attribute 'metadata'
albian,'tuple' object has no attribute 'metadata'
alkaline environment,'tuple' object has no attribute 'metadata'
alternating layer,'tuple' object has no attribute 'metadata'
alternating level,'tuple' object has no attribute 'metadata'
alternation,'tuple' object has no attribute 'metadata'
ancient lacustrine system,'tuple' object has no attribute 'metadata'
angular quartz,'tuple' object has no attribute 'metadata'
anhydrite,'tuple' object has no attribute 'metadata'
anomalous spherulstone,'tuple' object has no attribute 'metadata'
aptian,'tuple' object has no attribute 'metadata'
argillaceous ooid,'tuple' object has no attribute 'metadata'
argillaceous peloid,'tuple' object has no attribute 'metadata'
articulated,'tuple' object has no attribute 'metadata'
asymmetric fascicular aggregate,'tuple' object has no attribute 'metadata'
asymmetric spherulite,'tuple' object has no attribute 'metadata'
atmospheric-lake water carbon dioxide equilibrium,'tuple' object has no attribute 'metadata'
barite,'tuple' object has no attribute 'metadata'
barremian,'tuple' object has no attribute 'metadata'
best reservoir,'tuple' object has no attribute 'metadata'
bioclastic accumulation,'tuple' object has no attribute 'metadata'
bioclastic deposit,'tuple' object has no attribute 'metadata'
bioturbated,'tuple' object has no attribute 'metadata'
bivalve bioclast,'tuple' object has no attribute 'metadata'
bivalve bioclast shell,'tuple' object has no attribute 'metadata'
bivalve calcirudite,'tuple' object has no attribute 'metadata'
bivalve reworking,'tuple' object has no attribute 'metadata'
blocky calcite,'tuple' object has no attribute 'metadata'
blocky cement,'tuple' object has no attribute 'metadata'
blocky dolomite,'tuple' object has no attribute 'metadata'
blocky magnesite,'tuple' object has no attribute 'metadata'
broad lake,'tuple' object has no attribute 'metadata'
build-up,'tuple' object has no attribute 'metadata'
calcarenite,'tuple' object has no attribute 'metadata'
calcite aggregate replacement,'tuple' object has no attribute 'metadata'
calcite aggregate replacement by chalcedony,'tuple' object has no attribute 'metadata'
calcite cement,'tuple' object has no attribute 'metadata'
calcite fascicular shrub,'tuple' object has no attribute 'metadata'
calcite intraclast reworking,'tuple' object has no attribute 'metadata'
calcite mosaic,'tuple' object has no attribute 'metadata'
calcite rim,'tuple' object has no attribute 'metadata'
calcite rim detachment,'tuple' object has no attribute 'metadata'
calcite spherulite,'tuple' object has no attribute 'metadata'
calcrete,'tuple' object has no attribute 'metadata'
carbon dioxide degassing,'tuple' object has no attribute 'metadata'
carbonaceous fragment,'tuple' object has no attribute 'metadata'
carbonate,'tuple' object has no attribute 'metadata'
carbonate allochem,'tuple' object has no attribute 'metadata'
carbonate buildup,'tuple' object has no attribute 'metadata'
carbonate fan delta shoreline,'tuple' object has no attribute 'metadata'
carbonate intraclast,'tuple' object has no attribute 'metadata'
carbonate mineral,'tuple' object has no attribute 'metadata'
carbonate mound genesis control,'tuple' object has no attribute 'metadata'
carbonate oolith,'tuple' object has no attribute 'metadata'
carbonate reservoir,'tuple' object has no attribute 'metadata'
carnallite,'tuple' object has no attribute 'metadata'
centimeter level,'tuple' object has no attribute 'metadata'
centimetric intercalation,'tuple' object has no attribute 'metadata'
chaotic orientation,'tuple' object has no attribute 'metadata'
chaotic wedge,'tuple' object has no attribute 'metadata'
chalcedony cement,'tuple' object has no attribute 'metadata'
chalcedony fibrous rim,'tuple' object has no attribute 'metadata'
chemical composition variation,'tuple' object has no attribute 'metadata'
chemical deposit,'tuple' object has no attribute 'metadata'
chemocline,'tuple' object has no attribute 'metadata'
chemocline intersection,'tuple' object has no attribute 'metadata'
chemocline perturbation,'tuple' object has no attribute 'metadata'
chert,'tuple' object has no attribute 'metadata'
chert formation,'tuple' object has no attribute 'metadata'
clay cutan,'tuple' object has no attribute 'metadata'
clay envelope,'tuple' object has no attribute 'metadata'
clay ooid nucleus,'tuple' object has no attribute 'metadata'
clay ooid reworking,'tuple' object has no attribute 'metadata'
clay presence,'tuple' object has no attribute 'metadata'
closed lacustrine system,'tuple' object has no attribute 'metadata'
clinoform,'tuple' object has no attribute 'metadata'
clotted envelope,'tuple' object has no attribute 'metadata'
clotted texture,'tuple' object has no attribute 'metadata'
coarse calcite cement,'tuple' object has no attribute 'metadata'
coarse package,'tuple' object has no attribute 'metadata'
coquina,'tuple' object has no attribute 'metadata'
coquina sample,'tuple' object has no attribute 'metadata'
cored interval,'tuple' object has no attribute 'metadata'
cored well,'tuple' object has no attribute 'metadata'
cortical magnesium clay envelope,'tuple' object has no attribute 'metadata'
crust,'tuple' object has no attribute 'metadata'
