Category,Q,p_value,df
Depositional System,19.1163,0.000259,3
Depositional Unit,3.0,0.391625,3
Dimension,3.0,0.391625,3
Earth Fluid,6.0,0.11161,3
Earth Material,0.4286,0.934279,3
Facies,5.1429,0.16163,3
Facies Association,3.0,0.391625,3
Geological Age,3.0,0.391625,3
Geological Boundary,0.6667,0.881015,3
Geological Contact,0.0,1.0,3
Geological Object,7.2245,0.065077,3
Geological Process,1.0645,0.785646,3
Geological Structure,1.1633,0.761828,3
Geological Time Interval,8.5714,0.035567,3
Mound Unit,0.0,1.0,3
NOT_CLASSIFIED,3.0,0.391625,3
Rock,4.0,0.261464,3
Sediment,3.6667,0.299781,3
Sedimentary Facies,6.1429,0.104863,3
Sedimentary Geological Object,6.3529,0.095646,3
Sedimentary Rock,1.9655,0.579594,3
Sedimentary Structure,1.0,0.801252,3
Thickness,3.0,0.391625,3
fiat object part,4.7143,0.193955,3
fiat surface,0.0,1.0,3
generically dependent continuant,1.2857,0.732528,3
object,3.6667,0.299781,3
object aggregate,6.3333,0.096472,3
quality,0.0,1.0,3
site,9.1017,0.027969,3
