Term,NLD,Context_Used,Context
aptian,,False,
santos basin,,False,
campos basin,,False,
evaporite,,False,
fault,,False,
albian,,False,
barra velha formation,,False,
carbonate,,False,
structural high,,False,
unconformity,,False,
cretaceous,,False,
erosion,,False,
pre-salt,,False,
fracture,,False,
spherulite,,False,
ariri formation,,False,
barremian,,False,
basalt,,False,
carbonate reservoir,,False,
coquina,,False,
diagenesis,,False,
early cretaceous,,False,
itapema formation,,False,
silica,,False,
subsidence,,False,
depocenter,,False,
halite,,False,
hauterivian,,False,
microbialite,,False,
reservoir,,False,
salt deposition,,False,
seismic facies,,False,
clinoform,,False,
calcite,,False,
dissolution,,False,
dolomite,,False,
economic basement,,False,
lacustrine environment,,False,
lake,,False,
late aptian,,False,
pre-alagoas unconformity,,False,
rift phase,,False,
sag phase,,False,
shale,,False,
shallow lake,,False,
stevensite,,False,
travertine,,False,
carbonate platform,,False,
clay,,False,
grainstone,,False,
permeability,,False,
porosity,,False,
rifting,,False,
source rock,,False,
stromatolite,,False,
onlap,,False,
carbonate factory,,False,
reservoir quality,,False,
alkalinity,,False,
camboriú formation,,False,
carbonate rock,,False,
deep lake,,False,
evaporation,,False,
facies,,False,
hydrothermal fluid,,False,
intraclast,,False,
lacustrine carbonate,,False,
limestone,,False,
lower cretaceous,,False,
peloid,,False,
piçarras formation,,False,
recrystallization,,False,
rift,,False,
salt basin,,False,
sediment,,False,
siltstone,,False,
south atlantic ocean,,False,
thermal subsidence,,False,
tholeiitic basalt,,False,
anhydrite,,False,
deposition,,False,
graben,,False,
horst,,False,
hydrocarbon,,False,
kwanza basin,,False,
lithology,,False,
mound,,False,
mudstone,,False,
ostracod,,False,
packstone,,False,
progradation,,False,
reservoir facies,,False,
siliciclastic,,False,
trap,,False,
wackestone,,False,
half-graben,,False,
reflector termination,,False,
seal,,False,
tectonic activity,,False,
rift section,,False,
syn-depositional faulting,,False,
tectonics,,False,
normal fault,,False,
structural low,,False,
laminite,,False,
rudstone,,False,
hydrothermal vent complex,,False,
alkaline lacustrine environment,,False,
aquifer,,False,
aragonite,,False,
desiccation,,False,
dolomitization,,False,
espírito santo basin,,False,
facies association,,False,
fault zone,,False,
flood basalt,,False,
florianópolis high,,False,
gneiss,,False,
hydrothermal vent,,False,
intra-alagoas unconformity,,False,
lagoa feia group,,False,
lake tanganyika,,False,
marine carbonate,,False,
marl,,False,
moldic porosity,,False,
organic matter,,False,
post-rift phase,,False,
post-rift sequence,,False,
precambrian basement,,False,
salt deposit,,False,
silicification,,False,
texture,,False,
weathering,,False,
deep water,,False,
depositional facies,,False,
fan delta,,False,
gas,,False,
lake water,,False,
late cretaceous,,False,
lula field,,False,
marine environment,,False,
ooid,,False,
petroleum system,,False,
platform,,False,
pyramid lake,,False,
sandstone,,False,
shrub,,False,
silica cement,,False,
south atlantic,,False,
wave base,,False,
basement high,,False,
climate change,,False,
deformation,,False,
gondwana,,False,
oceanic crust,,False,
oil,,False,
pre-salt section,,False,
tectono-stratigraphic evolution,,False,
basin,,False,
depositional model,,False,
erosional truncation,,False,
facies variation,,False,
post-depositional faulting,,False,
carbonate mound,,False,
hanging wall,,False,
lacustrine setting,,False,
macabu formation,,False,
magmatic event,,False,
magmatism,,False,
phanerozoic,,False,
precambrian,,False,
rift basin,,False,
base salt,,False,
crystal shrub,,False,
marine system,,False,
silica nodule,,False,
antecedent topography,,False,
pre-salt play,,False,
cyclothem,,False,
depositional setting,,False,
evaporitic lake,,False,
geological record,,False,
hyper-alkaline lake,,False,
microbial macrostructure,,False,
microbial microstructure,,False,
water depth,,False,
